filname,t_start,t_end,video_duration,class_index
v_Z8yNbpjUSLc,52.46359126365054,143.36585335413415,166.4,186
v_p800u2wCKbE,8.523823970358814,15.532301457098287,40.4,186
v_p800u2wCKbE,33.337622639625586,36.49459448049922,40.4,186
v_hmT9H0IjiGs,62.88290684552553,181.58700215288607,215.5,186
v_MbCAiWBhAjo,11.402234957878315,121.83499204992201,135.3,186
v_NOXPH0_y4Ww,0.2,30.60513884555382,208.7,186
v_NOXPH0_y4Ww,126.002007800312,185.2587659906396,208.7,186
v_qfb0Qe7s9oo,38.946678627145076,111.53251326053041,155.06666666666666,186
v_vZzl0RbIQPM,42.052544635118736,138.1328607301092,178.4,186
v_MyPQ_e4dGDw,24.777919527665453,206.03009622308892,217.53333333333333,186
v_e1tC-0BSwV4,5.999338612792513,70.9012745148206,87.33333333333333,186
v_EQK_o1qHx7M,21.96672913991389,87.58885669712501,178.16666666666666,186
v_EQK_o1qHx7M,116.22902253777224,163.49919744149764,178.16666666666666,186
v_6lIi6-Y6q10,11.250252730109208,126.79997815912635,138.6,186
v_JGRpVcxltKE,26.089822758190326,58.63485939469579,172.33333333333334,186
v_JGRpVcxltKE,68.3176802121685,79.07637000936037,172.33333333333334,186
v_JGRpVcxltKE,92.52473225585022,100.59374960374416,172.33333333333334,186
v_JGRpVcxltKE,121.30422746333856,153.5802968549142,172.33333333333334,186
v_rBCf1qjOwCc,16.976303819499723,103.23427998344424,147.0,186
v_rBCf1qjOwCc,113.0988877301092,117.68707790171604,147.0,186
v__hzMRy2_q4g,10.915638065522618,121.32768954758193,159.03333333333333,186
v_lGvI5pyjpFg,13.416121684867392,18.49678315132605,25.433333333333334,186
v_jwlYaPt2DIs,0.2,79.156847,79.0,186
v_o8n1YnT8ZZ8,38.79789982347593,136.4286792823713,203.76666666666668,186
v_BFICeyu5oMM,20.40328193146417,100.26863551401871,103.13333333333334,186
v_L9dtiopWGe4,5.655888199687988,10.108395931357256,77.0,186
v_L9dtiopWGe4,37.18445646177848,51.62502207800313,77.0,186
v_deuSw3RnNLU,11.56415323279598,191.6345380655226,211.7,186
v_Zq9jr2S5wGM,17.23145227305691,25.393718939157573,145.26666666666668,186
v_Zq9jr2S5wGM,32.875796840873626,42.39844144305773,145.26666666666668,186
v_Zq9jr2S5wGM,50.787437878315146,51.467626778471136,145.26666666666668,186
v_Zq9jr2S5wGM,58.49624541341654,75.95442718408736,145.26666666666668,186
v_Zq9jr2S5wGM,78.90191241809673,94.7729867550702,145.26666666666668,186
v_Zq9jr2S5wGM,105.88273879095163,112.91135742589705,145.26666666666668,186
v_Zq9jr2S5wGM,118.3528686271451,125.6082168954758,145.26666666666668,186
v_Zq9jr2S5wGM,128.32897249609982,130.5962688299532,145.26666666666668,186
v_jKPgBtesr74,42.238076323987535,82.42223987538941,110.66666666666667,186
v_7PSicg5Q2ZI,31.488721634945396,229.3667120181406,229.23333333333332,186
v_yHXZZEucV1I,9.108996218352136,148.8849721123245,201.26666666666668,186
v_yduDG8EcM0A,0.0,67.941586,67.83333333333333,186
v_QIkDYInr17A,0.2,101.96425454841322,145.5,186
v_sTMbpIfI-6o,40.76676131045242,127.9403213728549,150.16666666666666,186
v_5LHIoaSvKCU,16.404290171606863,52.83688455538221,70.1,186
v_-eCMRApm6n4,84.50560172066747,147.5006866397105,196.73333333333332,186
